QUOTE_DATE,STRIKE,TERM,PARAM_A,PARAM_B,PARAM_C,C_IV,C_DELTA,C_VEGA,∆Vt,∆St,δMV,E_∆σimp,Hedging_Gain
2021-02-02,3820.0,1M,-377.9515925077848,-10.705369139776208,16.829453868350985,0.17841,0.52459,3.62985,-52.94,0.0,0.0,0.17841,192.164259
2021-02-02,3820.0,1M,-285.52610636477107,-0.7394347297467738,11.742862697053736,0.17812,0.52553,3.3566,0.0799999999999983,0.0,0.0,0.17812,-0.26852799999999427
2021-02-02,3820.0,1M,-275.25122622887073,3.881713683608966,10.834235030918252,0.17478,0.52554,3.16072,1.969999999999992,0.0,0.0,0.17478,-6.226618399999975
2021-02-02,3820.0,1M,-267.75616881108493,7.819225714252354,10.181462601580872,0.18846,0.52394,3.96499,5.25,0.0,0.0,0.18846,-20.816197499999998
2021-02-02,3820.0,1M,-266.513731571363,6.93443968753681,10.241833985293995,0.19178,0.52374,4.49137,3.75,0.0,0.0,0.19178,-16.8426375
2021-02-02,3820.0,1M,-223.6418687401376,6.796533833385945,8.849239649670091,0.19056,0.52322,4.34765,93.7,0.0,0.0,0.19056,-407.37480500000004
2021-02-02,3820.0,1M,-216.314584398952,20.25361103428248,7.461060042749896,0.18578,0.52374,4.19903,89.0,0.0,0.0,0.18578,-373.71367
2021-02-03,3820.0,1M,-171.97755928074258,23.108526993615975,5.076165440677748,0.19206,0.52805,5.33002,4.959999999999994,0.0,0.0,0.19206,-26.436899199999967
2021-02-03,3820.0,1M,-180.41092173681037,25.462573418206848,5.243763386712711,0.17634,0.53151,3.88256,6.950000000000003,0.0,0.0,0.17634,-26.983792000000008
2021-02-03,3820.0,1M,-188.99446501026657,23.8220732976824,5.8114401114036545,0.17323,0.53205,3.7144,-9.490000000000007,0.0,0.0,0.17323,35.24965600000003
2021-02-03,3820.0,1M,-186.10224371623573,23.18867457824798,5.757250418305107,0.16739,0.53384,3.53849,2.960000000000001,0.0,0.0,0.16739,-10.473930400000002
2021-02-03,3820.0,1M,-186.35006852982508,25.3164154616888,5.537601571032537,0.16583,0.53501,3.2569,5.779999999999994,0.0,0.0,0.16583,-18.82488199999998
2021-02-03,3820.0,1M,-172.98058438194343,21.17960263036812,5.3538227496209165,0.1883,0.52897,4.89742,-13.63000000000001,0.0,0.0,0.1883,66.75183460000005
2021-02-03,3820.0,1M,-172.23592997216292,20.7600881856525,5.369230178041952,0.1853,0.52918,4.41983,3.1000000000000085,0.0,0.0,0.1853,-13.701473000000037
2021-02-03,3820.0,1M,-184.00412283031815,27.65319338230751,5.1421885471688835,0.17704,0.53042,4.12065,21.819999999999993,0.0,0.0,0.17704,-89.91258299999998
2021-02-03,3820.0,1M,-175.01990698539336,26.451007716719193,4.922459545009512,0.18041,0.52956,4.27312,20.559999999999995,0.0,0.0,0.18041,-87.85534719999998
2021-02-25,3820.0,1M,-105.9218776951504,3.0554936604835667,4.9100668913098975,0.23014,0.52749,5.27031,40.02,0.0,0.0,0.23014,-210.91780620000003
2021-02-25,3820.0,1M,-122.0818453235222,6.027450768075742,5.285218280890795,0.2348,0.52754,4.76325,0.4000000000000057,0.0,0.0,0.2348,-1.9053000000000273
2021-02-25,3820.0,1M,-126.50164174583767,7.231254424148183,5.371723134362057,0.23251,0.52693,4.69653,2.5700000000000074,0.0,0.0,0.23251,-12.070082100000036
2021-02-25,3820.0,1M,-49.307649366358746,-2.989662417832413,3.387998767270809,0.24293,0.52749,3.62654,15.230000000000004,0.0,0.0,0.24293,-55.23220420000001
2021-02-25,3820.0,1M,-56.96086031624802,-1.6933722035437295,3.5715227780259724,0.23884,0.52732,3.79832,-5.0,0.0,0.0,0.23884,18.9916
2021-02-25,3820.0,1M,-60.10351293209763,0.5368074244372346,3.4949509534998606,0.25214,0.52831,3.1623,-8.920000000000002,0.0,0.0,0.25214,28.20771600000001
2021-02-25,3820.0,1M,-88.95732284756708,2.2890697982189128,4.520022145099093,0.23941,0.52785,3.44692,-19.59999999999999,0.0,0.0,0.23941,67.55963199999997
2021-02-25,3820.0,1M,-114.39059163049468,6.2782951516241035,5.128715969674719,0.23654,0.52681,4.34469,-18.72999999999999,0.0,0.0,0.23654,81.37604369999994
2021-02-25,3820.0,1M,-134.94412444914505,9.80154315090932,5.605808447279209,0.23562,0.52755,4.04097,-22.97,0.0,0.0,0.23562,92.82108089999998
2021-02-25,3820.0,1M,-130.47018856919695,7.614762750422223,5.767241402477869,0.23697,0.52726,4.19625,0.0,0.0,0.0,0.23697,-0.0
2021-03-03,3820.0,1M,-137.37691111713843,9.627819080478096,5.82389840618601,0.21513,0.5035,5.31926,-6.189999999999998,0.0,0.0,0.21513,32.92621939999999
2021-03-03,3820.0,1M,-130.59623674900638,8.963831156803403,5.63196414642873,0.21742,0.49958,3.70728,4.060000000000002,0.0,0.0,0.21742,-15.051556800000009
2021-03-03,3820.0,1M,-133.4334875198198,9.677111917235887,5.6740567723115705,0.22389,0.50073,3.8751,-5.670000000000002,0.0,0.0,0.22389,21.97181700000001
2021-03-03,3820.0,1M,-167.46858889270186,10.859083063294714,6.949552135456326,0.2206,0.49757,3.25189,-42.19,0.0,0.0,0.2206,137.1972391
2021-03-03,3820.0,1M,-162.69399344536524,10.490629747683665,6.79888543320089,0.21595,0.49912,3.53278,0.4099999999999966,0.0,0.0,0.21595,-1.4484397999999878
2021-03-03,3820.0,1M,-164.57746704083723,8.648260261550123,7.155616132965153,0.21405,0.50123,4.33792,-6.280000000000001,0.0,0.0,0.21405,27.242137600000007
